currency_id,source_system,currency
fx9t6eb5nhbkFn9LMg9ttEAC8QNzzjOVwaECPWplwO4=,bitso,crv
uh6VyCl78JHOfwVipqL2QJc5CNHM4Z08DulXMaoXm7g=,bitso,eur
jZMV/CJNh3+hXZMi750m6fa/Iz2dIpD9qwwjJJS8lFw=,bitso,uni
6zytW3vqkrWDGWXtM9l2sfHBktaaTjTJzmOFzof6HTQ=,bitso,ape
aHvWqRfU0R4xfuPUR8C4l9MWnwbKpZ0TZYyY/aW9llc=,bitso,ars
D6KOmnw7PQhO6TCUkEK1coiCh2pdcc6MRTXNuDnh2rA=,bitso,chz
7MJYZ+zPnzAzSPqKPVzPkOPMtTaMciChzAHMCbAdvMo=,bitso,mkr
1g+9hxjs6393UcaLaV4z75dNDsyisb8gySjm0bmV8A4=,bitso,usd
fJ58FJSyaEq3wZ1q/3N+Rg+p6Y1aI02hMQyX3fVpGDQ=,bitso,pepe
Pq9l1tbbPf5JpinqcJrWvZ+8lCKrFwwews/F8nnnTls=,bitso,xlm
BbMkjqW3abCNTr8BSOrtzxaB9ul44riykQ8YKVwp0T8=,bitso,rbtc
5AYF5qJiaKXrg8FV6l3RKuszFPa6XWfUtgfelRVuThI=,bitso,btc
hIEkR6aNzqxrOM8Llj2Gqg8N8q4pG3glIttIU+F0Za0=,bitso,dydx
YY+IGe6uYrMviQqmSEZxBoWQNz3mO8dpU47ruxVecT0=,bitso,gnt
Y7u3hiOIr7wDNwz8NgqsfROJFxQV2bZ0HD4lCbAZtXg=,bitso,tigres
G/Uhg23pbnX6x/ne3aTZLr5MAbmHeB5BnsDkIWEaOdA=,bitso,atom
GhG93EOWykYNKZaxobxu4CR3CJ/jC1FFMrty2tQnieI=,bitso,aave
Q4lYog5JNO9BGTGHeZfY6gd9v7iCHLOp9y0IXt8Jn+M=,bitso,ldo
drEMKFCu3eRp/p32ayww7vNRcUgHBFuti26dI2jD164=,bitso,brl
zRY071WxNnnlm65ZXMAmQX3JAQc46gogrjtpS1T6gvo=,bitso,usdt
rNvhI1Mp2NEE3t88PquGjuEJqgKW19Gh8xYxd2iDP+g=,bitso,shib
5RWi8XwFAyh16+p+pt9sldEWOCkscqo2XSrOSC3Phkg=,bitso,ltc
scArcXyUvUJD6DtemLo3+yc7wDXkrY/EOOpNB6EEP1Y=,bitso,cop
RSgnwsPj0ccJkvcxSUScfcBOUYfiiwma5fGBAsdS6fg=,bitso,tusd
alzRgc6RLrtMn4g9UESqcQUR+HzpjhXURwBmlVMbsBs=,bitso,trx
E2Ujuf6itzIYF7KOJUqBpoPTGdcVzuI2DQUTYKJy3Uw=,bitso,bsv
ZR3jMW+ifnTWqd5hnrrGjjt4HpUn/dAMXvcUOx+lgbY=,bitso,omg
lMdVOhhnBsx6A4Qjzmg34PZSpZDwksb1e8o5a5A86ec=,bitso,qnt
/e5DDUC9V97qwYbNl5ADPQ8G+QmogG585ucXq3x9UCk=,bitso,ada
ULmYS9nrK4g3+XJmuBri+JIqAnLECBjfq//ba2YGahc=,bitso,matic
gS3m5xj4af6xa0XGu8/bEmn+b2//3CQgFmSC480Kpkc=,bitso,etc
ujyW5K4HvAHbCBJ6gVi2i8TCxBpD6+8Y5L6cxkvCdVs=,bitso,paxg
Q7BxxhrAMy98hc/1W2D5138Jj1p26jqBPg0hfeDvZqs=,bitso,grt
sbG9tIDGHQdTANm/99nLac8xaV6gSOR4+srfQm6ND7A=,bitso,link
iBwSh+nJ4Er4wfBUuxxA/mxEYlwNDInRUJ07v9YvfCE=,bitso,lrc
vTF7JuH8k3HXMghq+va4861cVWIK1OqJ1JbO7ls9tec=,bitso,axs
U+v/RVG769mL9JiNousX8gYxTYpYVJyOSzrDEGfVsLU=,bitso,mxn
45La2LCFmfdNSBnNKR/u+Bq0OJ4Kb64rEob5lBGwx8o=,bitso,dot
H8GAVhTuT4ZFBYOLwiopK921D/nMkD4AezbaeAFl8ww=,bitso,enj
Tt/pVWH9Iytu0O+01dlSBIP9gvb5BOSn2Ky5aFgTWIg=,bitso,snx
9519JFWDBNi847GnYi/UCE2XCNqpR3Ekpw6JRytopGU=,bitso,sand
Tea7TkpsIFiYHJZybnFCvEh1iOrffzFbHX3FbjDMUao=,bitso,dai
9WImfyttiQp8DLjA5X3bwDZQguKKfj3QIGizt9kXEtI=,bitso,comp
7Yi3xpBwNDbIWx6ye0TmEhhdMoS6nOpFylWKQ1VuiO0=,bitso,ftm
7v/egSKSIRCvRQKQwYN0cB2Jp2NCHSxAs10/q0KEebA=,bitso,pagx
lMhPE90kycdBUZvpAP9vt6bZRICOn5K0QFkdzYfdhZk=,bitso,cusd
wSEgkap4wAdbtAco+KXbFFScIegDRILOKzaD5CF6s5U=,bitso,mana
gzphlVYxq3pWCa+s3Ok76y/cbQ2Df1iNddGwdGDxAKk=,bitso,bch
Dh3PH/AgzOq/j0pgoy6BS1tG7gu4zUr1yBTkBxvYahg=,bitso,xrp
xOeTyB7kA3DYJ9DL50jSRs/8osvpWTg+3wl20EHs6eU=,bitso,doge
L2Px7diyw5JvUhVOtGcuQ6BWPw/MNsmBZvgp8cd7rG4=,bitso,algo
jbWf600hfybHnW527qb/gDmOi4I+N2u3g76HCpbKuec=,bitso,sol
NUaBJw+8oP8lesshH403OlbnTdBxLhgRqk1TF14LcjI=,bitso,avax
KkMfAhoiTEVy5XIs17EEnMLbG95cRVFhUeRft9/1+PY=,bitso,gala
NhS4lNv+sBXd/wH2oRNAjtd64qkyYPAIVdbIexIpBE8=,bitso,yfi
G1pvjyq6xFoOUEtHXxpSKkhPE2U3IewI1W/LOCcN9bw=,bitso,bal
lw7CdMqGeBUXTr5O/xkoIAD5SVpsclTpSZHR+03D3zA=,bitso,luna
xp6hMie6zm4figY2TZP0pvBGMkMrZMqbH8QDa66k00w=,bitso,eth
ylvOwS9xb0TZdF00nMgEIvDRTLqwkynK9TO+98LZUus=,bitso,bat
z5j1nAwANYJ3N0ZEJB3vGHxv8Q19amG/Drdb1EdjRKM=,bitso,sushi
